formula,reagent,detection,instrument,environment,reference,doi,note
C10H14O9,NO3-,adduct,CI-APi-TOF,chamber,"Quéléver et al., 2019, ACP",10.5194/acp-19-7609-2019,Typical HOM product of α-pinene ozonolysis
C10H14O11,NO3-,adduct,CI-APi-TOF,chamber,"Quéléver et al., 2019, ACP",10.5194/acp-19-7609-2019,Typical HOM product of α-pinene ozonolysis
C10H16O7,NO3-,adduct,CI-APi-TOF,chamber,"Quéléver et al., 2019, ACP",10.5194/acp-19-7609-2019,Representative HOM monomer used for the condensation-sink calculation
C19H28O12,NO3-,adduct,CI-APi-TOF,chamber,"Quéléver et al., 2019, ACP",10.5194/acp-19-7609-2019,Representative HOM dimer used for the condensation-sink calculation
C6H8O7,NO3-,adduct,nitrate CIMS,chamber,"Räty et al., 2021, ACP",10.5194/acp-21-7357-2021,Main HOM monomer from cyclohexene ozonolysis; signal decreases on NO addition
C6H8O9,NO3-,adduct,nitrate CIMS,chamber,"Räty et al., 2021, ACP",10.5194/acp-21-7357-2021,Largest HOM monomer signal; increases on NO addition
C12H20O9,NO3-,adduct,nitrate CIMS,chamber,"Räty et al., 2021, ACP",10.5194/acp-21-7357-2021,Largest dimer product; drops sharply on NO addition
C6H9O8,NO3-,adduct,nitrate CIMS,chamber,"Räty et al., 2021, ACP",10.5194/acp-21-7357-2021,Highly oxygenated RO2 radical; precursor of C12H20O9 and C6H9NO9
C6H11O3,NO3-,adduct,nitrate CIMS,chamber,"Räty et al., 2021, ACP",10.5194/acp-21-7357-2021,Primary RO2 radical from OH oxidation of cyclohexene
C6H9NO9,NO3-,adduct,nitrate CIMS,chamber,"Räty et al., 2021, ACP",10.5194/acp-21-7357-2021,Most abundant nitrate product under high NOx (C6H9O8 + NO)
C12H19NO11,NO3-,adduct,nitrate CIMS,chamber,"Räty et al., 2021, ACP",10.5194/acp-21-7357-2021,The most abundant nitrogen-containing dimer
C6H9O5,NO3-,adduct,nitrate CIMS,chamber,"Räty et al., 2021, ACP",10.5194/acp-21-7357-2021,Product whose relative change falls outside the colour axis in Fig. 3 (FitFactor ≥ 0.7)
C6H9O9,NO3-,adduct,nitrate CIMS,chamber,"Räty et al., 2021, ACP",10.5194/acp-21-7357-2021,Product whose relative change falls outside the colour axis in Fig. 3 (FitFactor ≥ 0.7)
C11H18O11,NO3-,adduct,nitrate CIMS,chamber,"Räty et al., 2021, ACP",10.5194/acp-21-7357-2021,Product whose relative change falls outside the colour axis in Fig. 3 (FitFactor ≥ 0.7)
C6H10O8,NO3-,adduct,nitrate CIMS,chamber,"Räty et al., 2021, ACP",10.5194/acp-21-7357-2021,Fig. 5; the least volatile / most readily condensing of the three C6H10Ox species
C20H31NO10,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Nighttime type-2 dimer | series-expanded: C20H31OjNO3 (j=7–15), index 7 | source: Fig. 9 legend + main text"
C20H31NO12,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Nighttime type-2 dimer | series-expanded: C20H31OjNO3 (j=7–15), index 9 | source: Fig. 9 legend + main text"
C20H31NO14,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Nighttime type-2 dimer | series-expanded: C20H31OjNO3 (j=7–15), index 11 | source: Fig. 9 legend + main text"
C20H31NO15,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Nighttime type-2 dimer | series-expanded: C20H31OjNO3 (j=7–15), index 12 | source: Fig. 9 legend + main text"
C20H31NO16,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Nighttime type-2 dimer | series-expanded: C20H31OjNO3 (j=7–15), index 13 | source: Fig. 9 legend + main text"
C20H31NO17,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Nighttime type-2 dimer | series-expanded: C20H31OjNO3 (j=7–15), index 14 | source: Fig. 9 legend + main text"
C20H31NO18,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Nighttime type-2 dimer | series-expanded: C20H31OjNO3 (j=7–15), index 15 | source: Fig. 9 legend + main text"
C20H32N2O10,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Nighttime type-2 dimer | series-expanded: C20H32Ok(NO3)2 (k=4–11), index 4 | source: Fig. 9 legend + main text"
C20H32N2O11,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Nighttime type-2 dimer | series-expanded: C20H32Ok(NO3)2 (k=4–11), index 5 | source: Fig. 9 legend + main text"
C20H32N2O13,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Nighttime type-2 dimer | series-expanded: C20H32Ok(NO3)2 (k=4–11), index 7 | source: Fig. 9 legend + main text"
C20H32N2O14,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Nighttime type-2 dimer | series-expanded: C20H32Ok(NO3)2 (k=4–11), index 8 | source: Fig. 9 legend + main text"
C20H32N2O15,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Nighttime type-2 dimer | series-expanded: C20H32Ok(NO3)2 (k=4–11), index 9 | source: Fig. 9 legend + main text"
C20H32N2O16,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Nighttime type-2 dimer | series-expanded: C20H32Ok(NO3)2 (k=4–11), index 10 | source: Fig. 9 legend + main text"
C20H32N2O17,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Nighttime type-2 dimer | series-expanded: C20H32Ok(NO3)2 (k=4–11), index 11 | source: Fig. 9 legend + main text"
C19H29NO9,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Nighttime type-2 dimer | series-expanded: C19H29OlNO3 (l=6–13), index 6 | source: Fig. 9 legend + main text"
C19H29NO10,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Nighttime type-2 dimer | series-expanded: C19H29OlNO3 (l=6–13), index 7 | source: Fig. 9 legend + main text"
C19H29NO11,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Nighttime type-2 dimer | series-expanded: C19H29OlNO3 (l=6–13), index 8 | source: Fig. 9 legend + main text"
C19H29NO12,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Nighttime type-2 dimer | series-expanded: C19H29OlNO3 (l=6–13), index 9 | source: Fig. 9 legend + main text"
C19H29NO13,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Nighttime type-2 dimer | series-expanded: C19H29OlNO3 (l=6–13), index 10 | source: Fig. 9 legend + main text"
C19H29NO14,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Nighttime type-2 dimer | series-expanded: C19H29OlNO3 (l=6–13), index 11 | source: Fig. 9 legend + main text"
C19H29NO15,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Nighttime type-2 dimer | series-expanded: C19H29OlNO3 (l=6–13), index 12 | source: Fig. 9 legend + main text"
C19H29NO16,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Nighttime type-2 dimer | series-expanded: C19H29OlNO3 (l=6–13), index 13 | source: Fig. 9 legend + main text"
C19H31NO11,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Nighttime type-2 dimer | series-expanded: C19H31OmNO3 (m=8–11), index 8 | source: Fig. 9 legend + main text"
C19H31NO12,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Nighttime type-2 dimer | series-expanded: C19H31OmNO3 (m=8–11), index 9 | source: Fig. 9 legend + main text"
C19H31NO13,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Nighttime type-2 dimer | series-expanded: C19H31OmNO3 (m=8–11), index 10 | source: Fig. 9 legend + main text"
C19H31NO14,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Nighttime type-2 dimer | series-expanded: C19H31OmNO3 (m=8–11), index 11 | source: Fig. 9 legend + main text"
C18H29NO11,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Nighttime type-2 dimer | series-expanded: C18H29OnNO3 (n=8–11), index 8 | source: Fig. 9 legend + main text"
C18H29NO12,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Nighttime type-2 dimer | series-expanded: C18H29OnNO3 (n=8–11), index 9 | source: Fig. 9 legend + main text"
C18H29NO13,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Nighttime type-2 dimer | series-expanded: C18H29OnNO3 (n=8–11), index 10 | source: Fig. 9 legend + main text"
C18H29NO14,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,"Nighttime type-2 dimer | series-expanded: C18H29OnNO3 (n=8–11), index 11 | source: Fig. 9 legend + main text"
C10H14O6,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C10H14–16O6–13 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C10H14O8,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C10H14–16O6–13 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C10H14O10,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C10H14–16O6–13 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C10H14O12,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C10H14–16O6–13 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C10H14O13,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C10H14–16O6–13 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C10H15O6,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C10H14–16O6–13 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C10H15O7,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C10H14–16O6–13 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C10H15O9,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C10H14–16O6–13 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C10H15O11,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C10H14–16O6–13 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C10H15O13,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C10H14–16O6–13 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C10H16O6,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C10H14–16O6–13 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C10H16O7,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C10H14–16O6–13 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C10H16O8,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C10H14–16O6–13 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C10H16O9,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C10H14–16O6–13 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C10H16O10,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C10H14–16O6–13 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C10H16O11,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C10H14–16O6–13 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C10H16O12,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C10H14–16O6–13 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C10H16O13,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C10H14–16O6–13 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C19H28O10,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C19–20H28–32O10–18 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C19H28O11,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C19–20H28–32O10–18 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C19H28O12,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C19–20H28–32O10–18 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C19H28O13,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C19–20H28–32O10–18 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C19H28O14,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C19–20H28–32O10–18 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C19H28O15,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C19–20H28–32O10–18 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C19H28O16,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C19–20H28–32O10–18 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C19H28O17,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C19–20H28–32O10–18 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C19H28O18,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C19–20H28–32O10–18 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C19H30O10,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C19–20H28–32O10–18 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C19H30O11,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C19–20H28–32O10–18 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C19H30O12,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C19–20H28–32O10–18 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C19H30O13,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C19–20H28–32O10–18 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C19H30O14,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C19–20H28–32O10–18 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C19H30O15,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C19–20H28–32O10–18 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C19H30O16,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C19–20H28–32O10–18 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C19H30O17,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C19–20H28–32O10–18 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C19H30O18,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C19–20H28–32O10–18 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C19H32O10,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C19–20H28–32O10–18 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C19H32O11,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C19–20H28–32O10–18 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C19H32O12,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C19–20H28–32O10–18 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C19H32O13,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C19–20H28–32O10–18 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C19H32O14,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C19–20H28–32O10–18 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C19H32O15,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C19–20H28–32O10–18 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C19H32O16,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C19–20H28–32O10–18 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C19H32O17,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C19–20H28–32O10–18 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C19H32O18,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C19–20H28–32O10–18 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C20H28O10,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C19–20H28–32O10–18 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C20H28O11,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C19–20H28–32O10–18 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
C20H28O12,NO3-,adduct,CI-APi-TOF,boreal forest,"Yan et al., 2016, ACP",10.5194/acp-16-12715-2016,Major peak of the O3+monoterpene factor | range-expanded: C19–20H28–32O10–18 (Cartesian product of three index ranges; may include combinations never measured) | source: main text
